DNS Name,Host IP Address,Application hosted on server,OS Name ,OS Version
,,,,
aiifrenyq.abc.edu,169.102.30.41,Sunny,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
sdjfkkq.abc.edu,169.102.30.42,Kno123,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
sdfjkka.abc.edu,169.102.30.43,Iimages_45,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
lkiiyusd.abc.edu,169.102.30.44,PotStc,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
opwejjs.abc.edu,169.102.30.45,Mailman6669,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
kirenne.abc.edu,169.102.30.46,Weterin,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
poitwebwe.abc.edu,169.102.30.47,Otpustem,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
lajdfjk.abc.edu,169.102.30.48,Suseny,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
ghuiipa.abc.edu,169.102.30.49,Utsulter_67,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
qwerty.abc.edu,169.102.30.50,Heinzer,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
bento.abc.edu,169.102.30.51,Pointer,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
tiereer.abc.edu,169.102.30.52,Mastinq,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
queslls.abc.edu,169.102.30.53,Irvwinoy456,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
asdfght.abc.edu,169.102.30.54,Devorw,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
isuudhq.abc.edu,169.102.30.55,Kirting,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
kinfaay.abc.edu,169.102.30.56,Neence,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
psygajsmo.abc.edu,169.102.30.57,Jinxer,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
sdayenken.abc.edu,169.102.30.58,Winnie88,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
qwemcuu.abc.edu,169.102.30.59,Popoyee,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
losydnv.abc.edu,169.102.30.60,Adameve,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
qzxcvb.abc.edu,169.102.30.61,Hulkque,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
donuterr.abc.edu,169.102.30.62,Destwet,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
pizzadsq.abc.edu,169.102.30.63,Gorgew,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
cofeqwe.abc.edu,169.102.30.64,Kortang129,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
sejncoe.abc.edu,169.102.30.65,Linseng,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
nitriias.abc.edu,169.102.30.66,Carriye,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
jusyrwna.abc.edu,169.102.30.67,Joonng,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
gateinds.abc.edu,169.102.30.68,Yuvonnq,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
ghysndk.abc.edu,169.102.30.69,Masiop,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
awytsin.abc.edu,169.102.30.70,Postbol_62,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
oiutdshh.abc.edu,169.102.30.71,Sequnie,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
laresy.abc.edu,169.102.30.72,Funcer,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
coscoter.abc.edu,169.102.30.73,Tureny,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
crocer.abc.edu,169.102.30.74,Weender,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
kronger.abc.edu,169.102.30.75,Gerber,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
wallieur.abc.edu,169.102.30.76,Cheeryin,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
carinosue.abc.edu,169.102.30.77,Eefell,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
musterwe.abc.edu,169.102.30.78,Parkony,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
sandwurks.abc.edu,169.102.30.79,Kylens,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
darwwgin.abc.edu,169.102.30.80,Stephenz,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
figheyr.abc.edu,169.102.30.81,Mintyr,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
sdjfuenvm.abc.edu,169.102.30.82,Docktur,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
abstenfg.abc.edu,169.102.30.83,Currenq,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
magooshuii.abc.edu,169.102.30.84,Saturan,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
princetwa.abc.edu,169.102.30.85,Iopderev23,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
museutng.abc.edu,169.102.30.86,Uxyzdevel,Linux - Red Hat Enterprise Linux Server release 6.9,6.9.0.0
zxdsuaa.abc.edu,169.102.30.87,Indewww,WindowsOS - Windows 2008 Enterprise Server,6.1.0.7601
xerozxer.abc.edu,169.102.30.88,Falconter,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
crickqwe.abc.edu,169.102.30.89,Lockewek3qq,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
knollrsww.abc.edu,169.102.30.90,Poodler,Linux - Red Hat Enterprise Linux Server release 5.11,5.11.0.0
